[soak] launching 3-node cluster (-XX:+UseZGC -Xmx2g -Xms2g) under /mnt/nvme/run/soak; out=/mnt/nvme/run/soak; signing-key=/mnt/nvme/Configd/deploy/compose/secrets/signing-key.bin
[soak] t+2531s rss=2484684kb fd=350 thr=177 gc_cycles=320 gc_cumsec=21.800 commit_p50=2645us p99=4187us committed=9000 rejected=0
[soak] t+2562s rss=2484684kb fd=350 thr=177 gc_cycles=323 gc_cumsec=22.047 commit_p50=2597us p99=6091us committed=9000 rejected=0
[soak] t+2593s rss=2486004kb fd=350 thr=177 gc_cycles=328 gc_cumsec=22.448 commit_p50=2619us p99=4935us committed=9000 rejected=0
[soak] t+2625s rss=2486004kb fd=350 thr=177 gc_cycles=332 gc_cumsec=22.752 commit_p50=2629us p99=5943us committed=9000 rejected=0
[soak] t+2656s rss=2486004kb fd=350 thr=177 gc_cycles=336 gc_cumsec=23.075 commit_p50=2679us p99=3965us committed=9000 rejected=0
[soak] t+2687s rss=2486068kb fd=350 thr=177 gc_cycles=339 gc_cumsec=23.314 commit_p50=2667us p99=4139us committed=9000 rejected=0
[soak] t+2719s rss=2486068kb fd=350 thr=177 gc_cycles=344 gc_cumsec=23.690 commit_p50=2683us p99=4579us committed=9000 rejected=0
[soak] t+2750s rss=2486068kb fd=350 thr=177 gc_cycles=349 gc_cumsec=24.069 commit_p50=2747us p99=5947us committed=9000 rejected=0
[soak] t+2781s rss=2486068kb fd=350 thr=177 gc_cycles=352 gc_cumsec=24.299 commit_p50=2683us p99=5959us committed=9000 rejected=0
[soak] t+2813s rss=2486068kb fd=350 thr=177 gc_cycles=356 gc_cumsec=24.589 commit_p50=2667us p99=3801us committed=9000 rejected=0
[soak] t+2844s rss=2486068kb fd=350 thr=177 gc_cycles=359 gc_cumsec=24.811 commit_p50=2613us p99=4029us committed=9000 rejected=0
[soak] t+2875s rss=2486068kb fd=350 thr=177 gc_cycles=364 gc_cumsec=25.241 commit_p50=2519us p99=3907us committed=9000 rejected=0
[soak] t+2907s rss=2486260kb fd=350 thr=177 gc_cycles=368 gc_cumsec=25.530 commit_p50=2419us p99=3685us committed=9000 rejected=0
[soak] t+2938s rss=2486260kb fd=350 thr=177 gc_cycles=372 gc_cumsec=25.820 commit_p50=2329us p99=3475us committed=9000 rejected=0
[soak] t+2969s rss=2486260kb fd=350 thr=177 gc_cycles=375 gc_cumsec=26.023 commit_p50=2225us p99=3191us committed=9000 rejected=0
[soak] t+3000s rss=2486260kb fd=350 thr=177 gc_cycles=380 gc_cumsec=26.334 commit_p50=2159us p99=2901us committed=9000 rejected=0
[soak] t+3031s rss=2486260kb fd=350 thr=177 gc_cycles=385 gc_cumsec=26.627 commit_p50=2123us p99=2805us committed=9000 rejected=0
[soak] t+3062s rss=2486260kb fd=350 thr=177 gc_cycles=388 gc_cumsec=26.804 commit_p50=2109us p99=3031us committed=9000 rejected=0
[soak] t+3094s rss=2489092kb fd=350 thr=177 gc_cycles=393 gc_cumsec=27.117 commit_p50=2149us p99=3501us committed=9000 rejected=0
[soak] t+3125s rss=2489884kb fd=350 thr=177 gc_cycles=396 gc_cumsec=27.334 commit_p50=2505us p99=6767us committed=9000 rejected=0
[soak] t+3156s rss=2489884kb fd=350 thr=177 gc_cycles=400 gc_cumsec=27.653 commit_p50=2593us p99=3981us committed=9000 rejected=0
[soak] t+3188s rss=2489884kb fd=350 thr=177 gc_cycles=403 gc_cumsec=27.902 commit_p50=2621us p99=4159us committed=9000 rejected=0
[soak] t+3219s rss=2489884kb fd=350 thr=177 gc_cycles=409 gc_cumsec=28.374 commit_p50=2619us p99=6007us committed=9000 rejected=0
[soak] t+3250s rss=2489884kb fd=350 thr=177 gc_cycles=413 gc_cumsec=28.690 commit_p50=2595us p99=4211us committed=9000 rejected=0
[soak] t+3282s rss=2489884kb fd=350 thr=177 gc_cycles=416 gc_cumsec=28.948 commit_p50=2667us p99=4155us committed=9000 rejected=0
[soak] t+3313s rss=2489884kb fd=350 thr=177 gc_cycles=420 gc_cumsec=29.267 commit_p50=2691us p99=4863us committed=9000 rejected=0
[soak] t+3345s rss=2489884kb fd=350 thr=177 gc_cycles=425 gc_cumsec=29.657 commit_p50=2651us p99=7103us committed=9000 rejected=0
[soak] t+3376s rss=2490412kb fd=350 thr=177 gc_cycles=429 gc_cumsec=30.011 commit_p50=2763us p99=5935us committed=9000 rejected=0
[soak] t+3407s rss=2490676kb fd=350 thr=177 gc_cycles=432 gc_cumsec=30.258 commit_p50=2715us p99=5303us committed=9000 rejected=0
[soak] t+3439s rss=2490676kb fd=350 thr=177 gc_cycles=436 gc_cumsec=30.559 commit_p50=2657us p99=3949us committed=9000 rejected=0
[soak] t+3470s rss=2490940kb fd=350 thr=177 gc_cycles=440 gc_cumsec=30.891 commit_p50=2635us p99=4307us committed=9000 rejected=0
[soak] t+3501s rss=2490940kb fd=350 thr=177 gc_cycles=444 gc_cumsec=31.198 commit_p50=2579us p99=4037us committed=9000 rejected=0
[soak] t+3533s rss=2491204kb fd=350 thr=177 gc_cycles=449 gc_cumsec=31.610 commit_p50=2563us p99=3997us committed=9000 rejected=0
[soak] t+3564s rss=2491204kb fd=350 thr=177 gc_cycles=452 gc_cumsec=31.854 commit_p50=2579us p99=3829us committed=9000 rejected=0
[soak] t+3596s rss=2491468kb fd=350 thr=177 gc_cycles=457 gc_cumsec=32.292 commit_p50=2603us p99=3861us committed=9000 rejected=0
[soak] t+3627s rss=2491468kb fd=350 thr=177 gc_cycles=460 gc_cumsec=32.577 commit_p50=2645us p99=3991us committed=9000 rejected=0
[soak] t+3658s rss=2491468kb fd=350 thr=177 gc_cycles=465 gc_cumsec=32.971 commit_p50=2611us p99=3967us committed=9000 rejected=0
[soak] t+3690s rss=2491468kb fd=350 thr=177 gc_cycles=470 gc_cumsec=33.382 commit_p50=2657us p99=3645us committed=9000 rejected=0
[soak] t+3721s rss=2491552kb fd=350 thr=177 gc_cycles=473 gc_cumsec=33.638 commit_p50=2685us p99=3833us committed=9000 rejected=0
[soak] t+3752s rss=2491552kb fd=350 thr=177 gc_cycles=477 gc_cumsec=33.945 commit_p50=2623us p99=3677us committed=9000 rejected=0
[soak] t+3784s rss=2491552kb fd=350 thr=177 gc_cycles=480 gc_cumsec=34.177 commit_p50=2625us p99=4069us committed=9000 rejected=0
[soak] t+3815s rss=2491816kb fd=350 thr=177 gc_cycles=484 gc_cumsec=34.514 commit_p50=2611us p99=5919us committed=9000 rejected=0
[soak] t+3846s rss=2491816kb fd=350 thr=177 gc_cycles=489 gc_cumsec=34.902 commit_p50=2625us p99=5367us committed=9000 rejected=0
[soak] t+3878s rss=2491816kb fd=350 thr=177 gc_cycles=493 gc_cumsec=35.217 commit_p50=2639us p99=4011us committed=9000 rejected=0
[soak] t+3909s rss=2491816kb fd=350 thr=177 gc_cycles=496 gc_cumsec=35.451 commit_p50=2669us p99=7027us committed=9000 rejected=0
[soak] t+3941s rss=2491868kb fd=350 thr=177 gc_cycles=501 gc_cumsec=35.868 commit_p50=2669us p99=4683us committed=9000 rejected=0
[soak] t+3972s rss=2492108kb fd=350 thr=177 gc_cycles=505 gc_cumsec=36.206 commit_p50=2703us p99=6015us committed=9000 rejected=0
[soak] t+4003s rss=2492112kb fd=350 thr=177 gc_cycles=509 gc_cumsec=36.548 commit_p50=2717us p99=4399us committed=9000 rejected=0
[soak] t+4035s rss=2492164kb fd=350 thr=177 gc_cycles=513 gc_cumsec=36.866 commit_p50=2641us p99=4115us committed=9000 rejected=0
[soak] t+4066s rss=2492176kb fd=350 thr=177 gc_cycles=517 gc_cumsec=37.197 commit_p50=2643us p99=6455us committed=9000 rejected=0
[soak] t+4097s rss=2492176kb fd=350 thr=177 gc_cycles=521 gc_cumsec=37.516 commit_p50=2643us p99=5759us committed=9000 rejected=0
[soak] t+4129s rss=2492176kb fd=350 thr=177 gc_cycles=524 gc_cumsec=37.751 commit_p50=2627us p99=3981us committed=9000 rejected=0
[soak] t+4160s rss=2492176kb fd=350 thr=177 gc_cycles=529 gc_cumsec=38.178 commit_p50=2597us p99=4283us committed=9000 rejected=0
[soak] t+4192s rss=2492176kb fd=350 thr=177 gc_cycles=533 gc_cumsec=38.513 commit_p50=2589us p99=3857us committed=9000 rejected=0
[soak] t+4223s rss=2492176kb fd=350 thr=177 gc_cycles=537 gc_cumsec=38.839 commit_p50=2599us p99=3919us committed=9000 rejected=0
[soak] t+4254s rss=2492176kb fd=350 thr=177 gc_cycles=541 gc_cumsec=39.178 commit_p50=2645us p99=3917us committed=9000 rejected=0
[soak] t+4286s rss=2492176kb fd=350 thr=177 gc_cycles=545 gc_cumsec=39.508 commit_p50=2627us p99=4127us committed=9000 rejected=0
[soak] t+4317s rss=2492176kb fd=350 thr=177 gc_cycles=550 gc_cumsec=39.898 commit_p50=2635us p99=3635us committed=9000 rejected=0
[soak] t+4348s rss=2492176kb fd=350 thr=177 gc_cycles=553 gc_cumsec=40.160 commit_p50=2645us p99=3703us committed=9000 rejected=0
[soak] t+4380s rss=2492176kb fd=350 thr=177 gc_cycles=557 gc_cumsec=40.484 commit_p50=2635us p99=3881us committed=9000 rejected=0
[soak] t+4411s rss=2492176kb fd=350 thr=177 gc_cycles=560 gc_cumsec=40.709 commit_p50=2587us p99=3897us committed=9000 rejected=0
[soak] t+4442s rss=2492176kb fd=350 thr=177 gc_cycles=565 gc_cumsec=41.137 commit_p50=2565us p99=4071us committed=9000 rejected=0
[soak] t+4474s rss=2492176kb fd=350 thr=177 gc_cycles=570 gc_cumsec=41.507 commit_p50=2603us p99=4307us committed=9000 rejected=0
[soak] t+4505s rss=2492176kb fd=350 thr=177 gc_cycles=573 gc_cumsec=41.744 commit_p50=2587us p99=3861us committed=9000 rejected=0
[soak] t+4536s rss=2492176kb fd=350 thr=177 gc_cycles=577 gc_cumsec=42.063 commit_p50=2671us p99=4231us committed=9000 rejected=0
[soak] t+4568s rss=2492176kb fd=350 thr=177 gc_cycles=581 gc_cumsec=42.394 commit_p50=2667us p99=4907us committed=9000 rejected=0
[soak] t+4599s rss=2492176kb fd=350 thr=177 gc_cycles=586 gc_cumsec=42.810 commit_p50=2725us p99=4387us committed=9000 rejected=0
[soak] t+4631s rss=2492176kb fd=350 thr=177 gc_cycles=590 gc_cumsec=43.144 commit_p50=2691us p99=3903us committed=9000 rejected=0
[soak] t+4662s rss=2492176kb fd=350 thr=177 gc_cycles=594 gc_cumsec=43.460 commit_p50=2699us p99=5759us committed=9000 rejected=0
[soak] t+4693s rss=2492176kb fd=350 thr=177 gc_cycles=598 gc_cumsec=43.777 commit_p50=2661us p99=4043us committed=9000 rejected=0
[soak] t+4725s rss=2492176kb fd=350 thr=177 gc_cycles=601 gc_cumsec=44.008 commit_p50=2659us p99=4895us committed=9000 rejected=0
[soak] t+4756s rss=2492176kb fd=350 thr=177 gc_cycles=605 gc_cumsec=44.326 commit_p50=2635us p99=5687us committed=9000 rejected=0
[soak] t+4788s rss=2492176kb fd=350 thr=177 gc_cycles=610 gc_cumsec=44.721 commit_p50=2651us p99=3989us committed=9000 rejected=0
[soak] t+4819s rss=2492176kb fd=350 thr=177 gc_cycles=614 gc_cumsec=45.055 commit_p50=2619us p99=3779us committed=9000 rejected=0
[soak] t+4850s rss=2492176kb fd=350 thr=177 gc_cycles=618 gc_cumsec=45.400 commit_p50=2687us p99=4215us committed=9000 rejected=0
[soak] t+4882s rss=2492176kb fd=350 thr=177 gc_cycles=621 gc_cumsec=45.647 commit_p50=2675us p99=3949us committed=9000 rejected=0
[soak] t+4913s rss=2492176kb fd=350 thr=177 gc_cycles=627 gc_cumsec=46.131 commit_p50=2641us p99=3833us committed=9000 rejected=0
[soak] t+4944s rss=2492176kb fd=350 thr=177 gc_cycles=630 gc_cumsec=46.400 commit_p50=2695us p99=3815us committed=9000 rejected=0
[soak] t+4976s rss=2492176kb fd=350 thr=177 gc_cycles=634 gc_cumsec=46.730 commit_p50=2659us p99=3737us committed=9000 rejected=0
[soak] t+5007s rss=2492176kb fd=350 thr=177 gc_cycles=637 gc_cumsec=46.970 commit_p50=2621us p99=3989us committed=9000 rejected=0
[soak] t+5038s rss=2492176kb fd=350 thr=177 gc_cycles=642 gc_cumsec=47.401 commit_p50=2589us p99=4147us committed=9000 rejected=0
[soak] t+5070s rss=2492176kb fd=350 thr=177 gc_cycles=645 gc_cumsec=47.626 commit_p50=2565us p99=3923us committed=9000 rejected=0
[soak] t+5101s rss=2492176kb fd=350 thr=177 gc_cycles=650 gc_cumsec=48.018 commit_p50=2571us p99=3853us committed=9000 rejected=0
[soak] t+5133s rss=2492176kb fd=350 thr=177 gc_cycles=653 gc_cumsec=48.249 commit_p50=2559us p99=4591us committed=9000 rejected=0
[soak] t+5164s rss=2492176kb fd=350 thr=177 gc_cycles=658 gc_cumsec=48.561 commit_p50=2237us p99=4067us committed=9000 rejected=0
[soak] t+5195s rss=2492176kb fd=350 thr=177 gc_cycles=662 gc_cumsec=48.859 commit_p50=2441us p99=3559us committed=9000 rejected=0
[soak] t+5226s rss=2492176kb fd=350 thr=177 gc_cycles=666 gc_cumsec=49.144 commit_p50=2491us p99=3621us committed=9000 rejected=0
[soak] t+5258s rss=2492176kb fd=350 thr=177 gc_cycles=671 gc_cumsec=49.507 commit_p50=2539us p99=3549us committed=9000 rejected=0
[soak] t+5289s rss=2492176kb fd=350 thr=177 gc_cycles=674 gc_cumsec=49.734 commit_p50=2553us p99=3527us committed=9000 rejected=0
[soak] t+5320s rss=2492176kb fd=350 thr=177 gc_cycles=678 gc_cumsec=50.023 commit_p50=2501us p99=3577us committed=9000 rejected=0
[soak] t+5352s rss=2492176kb fd=350 thr=177 gc_cycles=681 gc_cumsec=50.228 commit_p50=2477us p99=4283us committed=9000 rejected=0
[soak] t+5383s rss=2492176kb fd=350 thr=177 gc_cycles=685 gc_cumsec=50.532 commit_p50=2517us p99=4243us committed=9000 rejected=0
[soak] t+5414s rss=2492176kb fd=350 thr=177 gc_cycles=691 gc_cumsec=50.967 commit_p50=2499us p99=6751us committed=9000 rejected=0
[soak] t+5446s rss=2492236kb fd=350 thr=177 gc_cycles=694 gc_cumsec=51.177 commit_p50=2461us p99=3579us committed=9000 rejected=0
[soak] t+5477s rss=2492236kb fd=350 thr=177 gc_cycles=698 gc_cumsec=51.473 commit_p50=2487us p99=3987us committed=9000 rejected=0
[soak] t+5508s rss=2492236kb fd=350 thr=177 gc_cycles=702 gc_cumsec=51.768 commit_p50=2487us p99=3611us committed=9000 rejected=0
[soak] t+5539s rss=2492236kb fd=350 thr=177 gc_cycles=707 gc_cumsec=52.116 commit_p50=2553us p99=3557us committed=9000 rejected=0
[soak] t+5571s rss=2492236kb fd=350 thr=177 gc_cycles=711 gc_cumsec=52.431 commit_p50=2525us p99=3429us committed=9000 rejected=0
[soak] t+5602s rss=2492236kb fd=350 thr=177 gc_cycles=714 gc_cumsec=52.648 commit_p50=2517us p99=3473us committed=9000 rejected=0
[soak] t+5633s rss=2492236kb fd=350 thr=177 gc_cycles=719 gc_cumsec=53.003 commit_p50=2459us p99=3387us committed=9000 rejected=0
[soak] t+5665s rss=2492236kb fd=350 thr=177 gc_cycles=722 gc_cumsec=53.204 commit_p50=2337us p99=3645us committed=9000 rejected=0
